!SIL 1.0	sil
<UNK> 1.0	spn
मोटरसाइकिलों 1.0	m oo tx r a s aa i k i l oo q
वसीमुल 1.0	w a s ii m u l
लिटरेचर 1.0	l i tx r ee c a r
नवलिका 1.0	n a w l i k aa
पदमा 1.0	p a d m aa
सब्जीमंडी 1.0	s a b j ii m a q dx ii
कहलवा 1.0	k a h l a w aa
स्वाधिष्ठान 1.0	s w aa dh i sx txh aa n
चट्टानो 1.0	c a tx tx aa n oo
टाल 1.0	tx aa l
बृहत्शंकरविजय 1.0	b rq h a t sh a q k a r w i j a y
तनिक 1.0	t a n i k
चंदवाक 1.0	c a q d a w aa k
सर्वेश 1.0	s a r w ee sh
दमन 1.0	d a m a n
कवरडेल 1.0	k a w a r dx ee l
टेकनपुर 1.0	tx ee k n a p u r
दुरुस्त 1.0	d u r u s t
विश्वेंद्र 1.0	w i sh w ee q d r
कन्वटबिलिटी 1.0	k a n w a tx a b i l i tx ii
नीड्स 1.0	n ii dx s
प्ले 1.0	p l ee
आइबेरियनों 1.0	aa i b ee r i y n oo q
त्वरक 1.0	t w r a k
सच्चा 1.0	s a c c aa
जुडो 1.0	j u dx oo
फायदेमंद 1.0	ph aa y d ee m a q d
ड्रोबक 1.0	dx r oo b a k
किंतु 1.0	k i q t u
भूभौतिकी 1.0	bh uu bh ou t i k ii
टोमेटो 1.0	tx oo m ee tx oo
श्रेणियों 1.0	sh r ee nx i y oo q
हरदा 1.0	h a r d aa
आजमाये 1.0	aa j m aa y ee
मुतुप 1.0	m u t u p
प्रथमेश 1.0	p r th a m ee sh
बेन्जीन 1.0	b ee n j ii n
जीवनी 1.0	j ii w n ii
यूसुफ़ 1.0	y uu s u f
जागाना 1.0	j aa g aa n aa
पलते 1.0	p a l t ee
रंगभेद 1.0	r a q g a bh ee d
अनगिनत 1.0	a n g i n a t
नॉब 1.0	n ax b
जस 1.0	j a s
अनन्तदेवी 1.0	a n a n t a d ee w ii
जनसंपर्क 1.0	j a n s a q p a r k
एडोटोरियल 1.0	ee dx oo tx oo r i y a l
ग्रेन्युअल 1.0	g r ee n y u a l
छीछालेदर 1.0	ch ii ch aa l ee d a r
पढ़ती 1.0	p a dxhq t ii
विशाखपट्नम 1.0	w i sh aa kh p a tx n a m
भलुआ 1.0	bh a l u aa
एमएसी 1.0	ee m a ee s ii
हिंदुजा 1.0	h i q d u j aa
तवे 1.0	t a w ee
विजुअल 1.0	w i j u a l
पठलावा 1.0	p a txh l aa w aa
रेगोग्राफ 1.0	r ee g oo g r aa ph
तक़ाज़ा 1.0	t a kq aa z aa
मितव्ययिता 1.0	m i t a w y a y i t aa
नंदा 1.0	n a q d aa
सारी 1.0	s aa r ii
कॉमेंट 1.0	k ax m ee q tx
रुमाल 1.0	r u m aa l
ओबरा 1.0	oo b r aa
दूरसंचार 1.0	d uu r s a q c aa r
मुशायरों 1.0	m u sh aa y r oo q
इलाकों 1.0	i l aa k oo q
खडसे 1.0	kh a dx s ee
टुटीकोरिन 1.0	tx u tx ii k oo r i n
हनुमानजी 1.0	h a n u m aa n j ii
वाडेकर 1.0	w aa dx ee k a r
सूर्य 1.0	s uu r y
सिकंदरा 1.0	s i k a q d a r aa
बीट्स 1.0	b ii tx s
एनआईओ 1.0	ee n a aa ii oo
पहचानती 1.0	p a h c aa n t ii
शानदार 1.0	sh aa n d aa r
भाजपाइयों 1.0	bh aa j p aa i y oo q
टिकिट 1.0	tx i k i tx
सौरा 1.0	s ou r aa
सम्मेलनगतिविधियाँ 1.0	s a m m ee l a n g a t i w i dh i y aa mq
प्रतिदर्श 1.0	p r t i d a r sh
जाबाज 1.0	j aa b aa j
करनेवाले 1.0	k a r n ee w aa l ee
मेटाबोरेट 1.0	m ee tx aa b oo r ee tx
हितधारक 1.0	h i t dh aa r a k
पतंगबाजी 1.0	p a t a q g a b aa j ii
कार्यकारीणी 1.0	k aa r y a k aa r ii nx ii
केचप 1.0	k ee c a p
बोरखेड़ा 1.0	b oo r kh ee dxq aa
बढ़ापुर 1.0	b a dxhq aa p u r
सीआईआरपी 1.0	s ii aa ii aa r p ii
बचाएं 1.0	b a c aa ee q
चौथा 1.0	c ou th aa
शोशण 1.0	sh oo sh a nx
किलेबंदी 1.0	k i l ee b a q d ii
चाणक्यपुरी 1.0	c aa nx a k y a p u r ii
मिजाइलें 1.0	m i j aa i l ee q
सीताहनुमान 1.0	s ii t aa h n u m aa n
क्लाइंटों 1.0	k l aa i q tx oo q
बीती 1.0	b ii t ii
चिरैया 1.0	c i r ei y aa
छीने 1.0	ch ii n ee
ऐंथ्रासाइट 1.0	ei q th r aa s aa i tx
वाणी 1.0	w aa nx ii
चिकनीता 1.0	c i k n ii t aa
मांगती 1.0	m aa q g a t ii
डंठल 1.0	dx a q txh a l
पुलिया 1.0	p u l i y aa
झामोग 1.0	jh aa m oo g
सौरभिक 1.0	s ou r bh i k
करुणाकर 1.0	k a r u nx aa k a r
बेरोजगारी 1.0	b ee r oo j g aa r ii
अस्पष्टीकृत 1.0	a s p a sx tx ii k rq t
नेरेटिन 1.0	n ee r ee tx i n
महाराव 1.0	m a h aa r aa w
शेयरधारकों 1.0	sh ee y a r dh aa r k oo q
बीईई 1.0	b ii ii ii
भिक्की 1.0	bh i k k ii
हिस्टोरिया 1.0	h i s tx oo r i y aa
सीहड़ा 1.0	s ii h dxq aa
जाखड़ 1.0	j aa kh a dxq
भिडंत 1.0	bh i dx a q t
कीताउं 1.0	k ii t aa u q
चित्सुखाचार्य 1.0	c i t s u kh aa c aa r y
निकाय 1.0	n i k aa y
केनिया 1.0	k ee n i y aa
स्टेुकहोल्डेर्स 1.0	s tx ee u k h oo l dx ee r s
पीढ़ियां 1.0	p ii dxhq i y aa q
हेमचंद्र 1.0	h ee m c a q d r
महफिल 1.0	m a h ph i l
बछड़े 1.0	b a ch dxq ee
एम्बेसी 1.0	ee m b ee s ii
मि 1.0	m i
दाईनें 1.0	d aa ii n ee q
बर्चस्व 1.0	b a r c a s w
मेड 1.0	m ee dx
रिपोर्ट्स 1.0	r i p oo r tx s
धुत्त 1.0	dh u t t
सील 1.0	s ii l
दुर्भाग्यपूर्ण 1.0	d u r bh aa g y a p uu r nx
सुखसमृद्धि 1.0	s u kh a s m rq d dh i
कर्दिओवेर्सिओन 1.0	k a r d i oo w ee r s i oo n
कॉन्ट्रास्ट 1.0	k ax n tx r aa s tx
सर्वानंद 1.0	s a r w aa n a q d
उर्फ 1.0	u r ph
वेटेज 1.0	w ee tx ee j
कंपोजिशन 1.0	k a q p oo j i sh a n
डॉयट 1.0	dx ax y a tx
बीबीएन 1.0	b ii b ii ee n
पंचगव्य 1.0	p a q c a g a w y
प्रीपेमेंट 1.0	p r ii p ee m ee q tx
विकासक्रम 1.0	w i k aa s a k r a m
अरैखिक 1.0	a r ei kh i k
कोंकण 1.0	k oo q k a nx
लाईन 1.0	l aa ii n
खंडार 1.0	kh a q dx aa r
प्रेमलता 1.0	p r ee m a l t aa
सहजातिय 1.0	s a h j aa t i y
सेवेन 1.0	s ee w ee n
सनटेक 1.0	s a n tx ee k
जरुरत 1.0	j a r u r a t
नवाजी 1.0	n a w aa j ii
बरपाएगी 1.0	b a r p aa ee g ii
नीरा 1.0	n ii r aa
सिस्टेमैटिक 1.0	s i s tx ee m ei tx i k
रामशृंग 1.0	r aa m sh rq q g
सत्यनारायण 1.0	s a t y a n aa r aa y a nx
जलाये 1.0	j a l aa y ee
स्क्रिप्ट 1.0	s k r i p tx
रेहम 1.0	r ee h a m
लिपटकर 1.0	l i p a tx k a r
गर्ममिजाजी 1.0	g a r m a m i j aa j ii
ईटन 1.0	ii tx a n
हरीपालदेव 1.0	h a r ii p aa l d ee w
सफर 1.0	s a ph a r
जलाबिया 1.0	j a l aa b i y aa
बुग्गावाला 1.0	b u g g aa w aa l aa
मेंडेलीफ़ 1.0	m ee q dx ee l ii f
एजेंडों 1.0	ee j ee q dx oo q
देहावसान 1.0	d ee h aa w s aa n
निभाएंगी 1.0	n i bh aa ee q g ii
दब 1.0	d a b
मंगलुरु 1.0	m a q g a l u r u
औंधे 1.0	ou q dh ee
घूमा 1.0	gh uu m aa
ओब्श्चीना 1.0	oo b sh c ii n aa
सजता 1.0	s a j t aa
भैयाजी 1.0	bh ei y aa j ii
फ़ैशन 1.0	f ei sh a n
कटरामेदनीगंज 1.0	k a tx r aa m ee d n ii g a q j
बिक 1.0	b i k
ग्रेवाल 1.0	g r ee w aa l
अच्छाई 1.0	a c ch aa ii
दस्तों 1.0	d a s t oo q
महाविकास 1.0	m a h aa w i k aa s
लिपिक 1.0	l i p i k
सातारा 1.0	s aa t aa r aa
सुरुचि 1.0	s u r u c i
जिलाधिकारीको 1.0	j i l aa dh i k aa r ii k oo
बुद्धदास 1.0	b u d dh a d aa s
पहुंचे 1.0	p a h u q c ee
सिवान 1.0	s i w aa n
वाईएसआर 1.0	w aa ii ee s a aa r
थंमा 1.0	th a q m aa
हाेता 1.0	h aa ee t aa
बेमेतरा 1.0	b ee m ee t r aa
मॉडम 1.0	m ax dx a m
होतें 1.0	h oo t ee q
वानुअतु 1.0	w aa n u a t u
गुणाभाग 1.0	g u nx aa bh aa g
बिखेरी 1.0	b i kh ee r ii
कार्यक्रता 1.0	k aa r y a k r a t aa
विवाद 1.0	w i w aa d
कामो 1.0	k aa m oo
म्हाडा 1.0	m h aa dx aa
कलाल 1.0	k a l aa l
बीजिंग 1.0	b ii j i q g
लागू 1.0	l aa g uu
साजोसामान 1.0	s aa j oo s aa m aa n
ड्रॉइंग 1.0	dx r ax i q g
अधर्मी 1.0	a dh a r m ii
थानवी 1.0	th aa n w ii
पैरासेल्सस 1.0	p ei r aa s ee l s a s
पहुन्चा 1.0	p a h u n c aa
बढ़त 1.0	b a dxhq a t
पहुँचती 1.0	p a h u mq c a t ii
ध्वनी 1.0	dh w n ii
लेंट 1.0	l ee q tx
वोदेयर 1.0	w oo d ee y a r
अंतवाले 1.0	a q t a w aa l ee
कोएर्टजन 1.0	k oo ee r tx a j a n
कंप्यूटर 1.0	k a q p y uu tx a r
पोटेशियम 1.0	p oo tx ee sh i y a m
खींचा 1.0	kh ii q c aa
पैट्रिसिया 1.0	p ei tx r i s i y aa
इश्माएल 1.0	i sh m aa ee l
लिख 1.0	l i kh
जीटीएल 1.0	j ii tx ii ee l
हसे 1.0	h a s ee
अच्छाइयों 1.0	a c ch aa i y oo q
क्लीक 1.0	k l ii k
कसडोल 1.0	k a s dx oo l
जिंदगियां 1.0	j i q d a g i y aa q
पलकों 1.0	p a l k oo q
व्हाइटले 1.0	w h aa i tx l ee
मामूम 1.0	m aa m uu m
एथीनियम 1.0	ee th ii n i y a m
दसीसदी 1.0	d a s ii s d ii
फ्रेजर 1.0	ph r ee j a r
विजीलेंस 1.0	w i j ii l ee q s
क्रिकेटर 1.0	k r i k ee tx a r
गजाला 1.0	g a j aa l aa
इतालवी 1.0	i t aa l w ii
संक्रामक 1.0	s a q k r aa m a k
एएनडी 1.0	ee ee n dx ii
एम्बेसडर 1.0	ee m b ee s dx a r
छायावादोत्तर 1.0	ch aa y aa w aa d oo t t a r
चुंगियों 1.0	c u q g i y oo q
चिल्लाता 1.0	c i l l aa t aa
भोटा 1.0	bh oo tx aa
प्रबंधक 1.0	p r b a q dh a k
कुर्द 1.0	k u r d
डिसप्ले 1.0	dx i s a p l ee
सिंघा 1.0	s i q gh aa
नवरेह 1.0	n a w r ee h
दसूहा 1.0	d a s uu h aa
गिऱफ्तार 1.0	g i rx a ph t aa r
मैमोरी 1.0	m ei m oo r ii
उकसाया 1.0	u k a s aa y aa
वाधवा 1.0	w aa dh w aa
डा 1.0	dx aa
नीतियों 1.0	n ii t i y oo q
समद 1.0	s a m a d
गैरदलित 1.0	g ei r d a l i t
सत्तासी 1.0	s a t t aa s ii
शाखाओं 1.0	sh aa kh aa oo q
कानूनन 1.0	k aa n uu n a n
दावें 1.0	d aa w ee q
बहुभाषीय 1.0	b a h u bh aa sx ii y
रखेगी 1.0	r a kh ee g ii
प्रधानमंत्री 1.0	p r dh aa n m a q t r ii
निकलीं 1.0	n i k l ii q
केंद्र 1.0	k ee q d r
सीके 1.0	s ii k ee
मूंछ 1.0	m uu q ch
निकिता 1.0	n i k i t aa
आमना 1.0	aa m n aa
शास्ति 1.0	sh aa s t i
कॉलस 1.0	k ax l a s
एसोफैगिटिस 1.0	ee s oo ph ei g i tx i s
सलूणी 1.0	s a l uu nx ii
वॉलेट 1.0	w ax l ee tx
एवरेस्ट 1.0	ee w r ee s tx
पैराशूट 1.0	p ei r aa sh uu tx
सैंडबर्ग 1.0	s ei q dx a b a r g
कबीरदास 1.0	k a b ii r d aa s
अन्य 1.0	a n y
दस्तावेज़ों 1.0	d a s t aa w ee z oo q
सिद्घ 1.0	s i d gh
नवी 1.0	n a w ii
मनस्ताप 1.0	m a n a s t aa p
ब्रैनसन 1.0	b r ei n s a n
भागुर 1.0	bh aa g u r
हिंदू 1.0	h i q d uu
बैंडेज 1.0	b ei q dx ee j
महत्त्वाकांक्षी 1.0	m a h a t t w aa k aa q k sx ii
लडाई 1.0	l a dx aa ii
सिलहट 1.0	s i l h a tx
अवस्थी 1.0	a w a s th ii
आपत्तिजनक 1.0	aa p a t t i j n a k
तीक्ष्ण 1.0	t ii k sx nx
सहनशक्ति 1.0	s a h n a sh a k t i
चुका 1.0	c u k aa
कलरों 1.0	k a l r oo q
चौंक 1.0	c ou q k
जुहू 1.0	j u h uu
मांता 1.0	m aa q t aa
स्मरणपूर्ण 1.0	s m a r nx a p uu r nx
कठिनाई 1.0	k a txh i n aa ii
पराये 1.0	p a r aa y ee
एसआईटी 1.0	ee s a aa ii tx ii
तेहरान 1.0	t ee h r aa n
उत्तरदाई 1.0	u t t a r d aa ii
बाड़ेछीना 1.0	b aa dxq ee ch ii n aa
कीटानाशक 1.0	k ii tx aa n aa sh a k
अंपायर 1.0	a q p aa y a r
सोपान 1.0	s oo p aa n
पीपीसीबी 1.0	p ii p ii s ii b ii
जाओगे 1.0	j aa oo g ee
अस्त्र 1.0	a s t r
शक्कर 1.0	sh a k k a r
अंडाशय 1.0	a q dx aa sh a y
केंद्रीय 1.0	k ee q d r ii y
विभीषिका 1.0	w i bh ii sx i k aa
स्वाइप 1.0	s w aa i p
वेतनमान 1.0	w ee t n a m aa n
अचूकता 1.0	a c uu k t aa
जन्मदिवस 1.0	j a n m a d i w a s
खरीदार 1.0	kh a r ii d aa r
रॉबिनहुड 1.0	r ax b i n h u dx
दातुन 1.0	d aa t u n
भूपेंद्र 1.0	bh uu p ee q d r
हानिकर 1.0	h aa n i k a r
असहमत 1.0	a s a h m a t
बर्बता 1.0	b a r b a t aa
एडटिंग 1.0	ee dx tx i q g
डानी 1.0	dx aa n ii
करीना 1.0	k a r ii n aa
ताकि 1.0	t aa k i
रसों 1.0	r a s oo q
एरिथ्रोपिटा 1.0	ee r i th r oo p i tx aa
ऐपल 1.0	ei p a l
षण्मुखः 1.0	sx a nx m u kh a hq
घंटी 1.0	gh a q tx ii
लाएँगे 1.0	l aa ee mq g ee
पोमोना 1.0	p oo m oo n aa
रामपुरनरायणपुर 1.0	r aa m p u r n a r aa y nx a p u r
एथनॉल 1.0	ee th n ax l
वस्तुतः 1.0	w a s t u t a hq
मौर्यकालीन 1.0	m ou r y a k aa l ii n
गहरायी 1.0	g a h r aa y ii
रणबीर 1.0	r a nx b ii r
फ्रॉड 1.0	ph r ax dx
शेयरों 1.0	sh ee y r oo q
खापराकोडिया 1.0	kh aa p r aa k oo dx i y aa
प्रस्तावनाएँ 1.0	p r a s t aa w n aa ee mq
शंखिनी 1.0	sh a q kh i n ii
अंशाई 1.0	a q sh aa ii
स्किल्ड 1.0	s k i l dx
प्रेमप्रकाश 1.0	p r ee m a p r a k aa sh
पुलिसकर्मी 1.0	p u l i s k a r m ii
चंदीमल 1.0	c a q d ii m a l
उत्तरजीविता 1.0	u t t a r j ii w i t aa
भरोसेमंदताओं 1.0	bh a r oo s ee m a q d a t aa oo q
रहें 1.0	r a h ee q
ग्यारहवें 1.0	g y aa r a h w ee q
देता 1.0	d ee t aa
उपश्रमायुक्त 1.0	u p a sh r a m aa y u k t
रोमानिया 1.0	r oo m aa n i y aa
माखी 1.0	m aa kh ii
जामवंत 1.0	j aa m w a q t
दौबारा 1.0	d ou b aa r aa
करीबन 1.0	k a r ii b a n
पिसाई 1.0	p i s aa ii
लाओस 1.0	l aa oo s
हिमा 1.0	h i m aa
केडी 1.0	k ee dx ii
फैलता 1.0	ph ei l t aa
बुककीपर 1.0	b u k k ii p a r
मंदिरो 1.0	m a q d i r oo
स्वप्रतिरक्षकता 1.0	s w a p r a t i r a k sx a k a t aa
चुप 1.0	c u p
यूकेलिप्टस 1.0	y uu k ee l i p tx a s
देलथ 1.0	d ee l a th
छाल 1.0	ch aa l
रोपे 1.0	r oo p ee
बुलेट 1.0	b u l ee tx
छिटपुट 1.0	ch i tx p u tx
दक्षिणा 1.0	d a k sx i nx aa
टीवीपी 1.0	tx ii w ii p ii
जी 1.0	j ii
चिरगांव 1.0	c i r g aa q w
डार्क 1.0	dx aa r k
बलजीत 1.0	b a l j ii t
प्रकृतवादी 1.0	p r k rq t w aa d ii
अष्टकोणीय 1.0	a sx tx a k oo nx ii y
बाली 1.0	b aa l ii
तबरेज़ 1.0	t a b r ee z
मोहनपुर 1.0	m oo h n a p u r
महापौर 1.0	m a h aa p ou r
भौगौलिक 1.0	bh ou g ou l i k
कुंग 1.0	k u q g
सेरम 1.0	s ee r a m
राडिया 1.0	r aa dx i y aa
नग्न 1.0	n a g n
दार्शनिक 1.0	d aa r sh a n i k
डेब्यू 1.0	dx ee b y uu
दसवां 1.0	d a s w aa q
भवानीगढ़ 1.0	bh a w aa n ii g a dxhq
स्पाइस 1.0	s p aa i s
एज़हला 1.0	ee z a h l aa
थाली 1.0	th aa l ii
फास्टफूड 1.0	ph aa s tx a ph uu dx
स्पॉइलर 1.0	s p ax i l a r
फैसल 1.0	ph ei s a l
एनिमी 1.0	ee n i m ii
बेगू 1.0	b ee g uu
कोएक्टर्स 1.0	k oo ee k tx a r s
फंसेंगे 1.0	ph a q s ee q g ee
टाइअप 1.0	tx aa i a p
अलर्ट 1.0	a l a r tx
बोलीविया 1.0	b oo l ii w i y aa
बिगाड़ा 1.0	b i g aa dxq aa
पैठ 1.0	p ei txh
वार्डन 1.0	w aa r dx a n
मिस्त्री 1.0	m i s t r ii
पार 1.0	p aa r
तीर्थंकर 1.0	t ii r th a q k a r
चन्द्रिकाप्रसाद 1.0	c a n d r i k aa p r a s aa d
ऋतुनिर्भर 1.0	rq t u n i r bh a r
एथेनाल 1.0	ee th ee n aa l
यथावत 1.0	y a th aa w a t
नाइस 1.0	n aa i s
वृद्धि 1.0	w rq d dh i
ज्वानिंग 1.0	j w aa n i q g
बाइकल 1.0	b aa i k a l
हरिजन 1.0	h a r i j a n
अतुलानंद 1.0	a t u l aa n a q d
बुढ़िया 1.0	b u dxhq i y aa
थिरके 1.0	th i r k ee
कान्ये 1.0	k aa n y ee
लुड्विक 1.0	l u dx w i k
रणसू 1.0	r a nx s uu
बीट 1.0	b ii tx
मदिरा 1.0	m a d i r aa
नूतन 1.0	n uu t a n
ब्रेक्जिट 1.0	b r ee k j i tx
अश्वत्थामा 1.0	a sh w a t th aa m aa
सेलेनियम 1.0	s ee l ee n i y a m
दंगाइयो 1.0	d a q g aa i y oo
नंगर 1.0	n a q g a r
अप्रसिद्ध 1.0	a p r a s i d dh
परमबीर 1.0	p a r a m b ii r
षणा 1.0	sx a nx aa
स्टैंडिंग 1.0	s tx ei q dx i q g
स्पर्धाओं 1.0	s p a r dh aa oo q
निकल 1.0	n i k a l
सम्मानों 1.0	s a m m aa n oo q
हल्दर 1.0	h a l d a r
टैकर 1.0	tx ei k a r
ग्लाईकोलिक 1.0	g l aa ii k oo l i k
दाढ 1.0	d aa dxh
ग्रहों 1.0	g r h oo q
किंडरगार्टन 1.0	k i q dx a r g aa r tx a n
मेटेरियल 1.0	m ee tx ee r i y a l
दूतों 1.0	d uu t oo q
खिलाडिय़ों 1.0	kh i l aa dx i y oo q
गाड़ीवाड़ी 1.0	g aa dxq ii w aa dxq ii
जगदेवी 1.0	j a g d ee w ii
संघ 1.0	s a q gh
अन्तरराष्ट्रीय 1.0	a n t a r a r aa sx tx r ii y
परिकल्पना 1.0	p a r i k a l p a n aa
रोस्टन 1.0	r oo s tx a n
अफ़ज़ल 1.0	a f a z a l
शिरकत 1.0	sh i r k a t
पन्नग 1.0	p a n n a g
तदोपंरात 1.0	t a d oo p a q r aa t
जबाव 1.0	j a b aa w
सेंधमारी 1.0	s ee q dh a m aa r ii
अंशिका 1.0	a q sh i k aa
उपापचय 1.0	u p aa p c a y
जुगांतर 1.0	j u g aa q t a r
बाराचट्टी 1.0	b aa r aa c a tx tx ii
अकेसिया 1.0	a k ee s i y aa
नाटकों 1.0	n aa tx k oo q
उकुलेले 1.0	u k u l ee l ee
जमावड़ा 1.0	j a m aa w dxq aa
रैखिक 1.0	r ei kh i k
मांफी 1.0	m aa q ph ii
गोल्डी 1.0	g oo l dx ii
त्रयोदशी 1.0	t r y oo d sh ii
काबिले 1.0	k aa b i l ee
एनएसजी 1.0	ee n a ee s j ii
अजीबोग़रीब 1.0	a j ii b oo gq r ii b
धमकाता 1.0	dh a m k aa t aa
वायलेंस 1.0	w aa y l ee q s
ट्रेम्स्लाइनिंग 1.0	tx r ee m s l aa i n i q g
नाइकी 1.0	n aa i k ii
विश्वेश्वरैया 1.0	w i sh w ee sh w a r ei y aa
कुमांऊ 1.0	k u m aa q uu
कानपुर 1.0	k aa n p u r
होग 1.0	h oo g
रबर 1.0	r a b a r
ऑफ़ 1.0	ax f
ख़िलाफ 1.0	khq i l aa ph
घुमाते 1.0	gh u m aa t ee
भरावों 1.0	bh a r aa w oo q
शील 1.0	sh ii l
भावसमृद्धि 1.0	bh aa w a s m rq d dh i
बीई 1.0	b ii ii
तालवादक 1.0	t aa l w aa d a k
छूमंतर 1.0	ch uu m a q t a r
अष्टावक्र 1.0	a sx tx aa w a k r
कड़वाहट 1.0	k a dxq w aa h a tx
मार्टिन 1.0	m aa r tx i n
सुपरमेजर 1.0	s u p a r m ee j a r
प्रौद्यिगिकी 1.0	p r ou d y i g i k ii
साइको 1.0	s aa i k oo
दिग्भ्रमित 1.0	d i g bh r a m i t
गंडेरबाल 1.0	g a q dx ee r b aa l
प्लिसकोवा 1.0	p l i s k oo w aa
सुशील 1.0	s u sh ii l
खोकसा 1.0	kh oo k s aa
जनम 1.0	j a n a m
दमखम 1.0	d a m kh a m
युनिट 1.0	y u n i tx
द्विबीजपत्री 1.0	d w i b ii j p a t r ii
समाप्त 1.0	s a m aa p t
उनकी 1.0	u n a k ii
उम्मीदें 1.0	u m m ii d ee q
मलहम 1.0	m a l h a m
उन्नयनन 1.0	u n n a y n a n
मुचलका 1.0	m u c a l k aa
योगा 1.0	y oo g aa
हेल्पलाइन 1.0	h ee l p a l aa i n
विलुप्ति 1.0	w i l u p t i
तिङत 1.0	t i ng a t
एक्टिविटीज 1.0	ee k tx i w i tx ii j
हठयोग 1.0	h a txh y oo g
पल्लव 1.0	p a l l a w
आनुवांशिकी 1.0	aa n u w aa q sh i k ii
एसईजैड 1.0	ee s a ii j ei dx
मंडप 1.0	m a q dx a p
भगवान् 1.0	bh a g w aa n
किहर 1.0	k i h a r
एआईसीटीई 1.0	ee aa ii s ii tx ii ii
विलियमसन 1.0	w i l i y m a s a n
कीजिएगा 1.0	k ii j i ee g aa
मायके 1.0	m aa y k ee
दर्डा 1.0	d a r dx aa
विज्ञापनो 1.0	w i j nj aa p n oo
पायी 1.0	p aa y ii
मोगल 1.0	m oo g a l
क्लोई 1.0	k l oo ii
पराकाला 1.0	p a r aa k aa l aa
संधानक 1.0	s a q dh aa n a k
सवर्णवादी 1.0	s a w a r nx a w aa d ii
राज्यवद्र्धन 1.0	r aa j y a w a d r dh a n
बढाता 1.0	b a dxh aa t aa
पिटर 1.0	p i tx a r
बतुर 1.0	b a t u r
थॉमस 1.0	th ax m a s
राफेल 1.0	r aa ph ee l
वेस्टेड 1.0	w ee s tx ee dx
लाइंस 1.0	l aa i q s
नाखून 1.0	n aa kh uu n
पार्श्वगायक 1.0	p aa r sh w a g aa y a k
मेट्रो 1.0	m ee tx r oo
अनवर 1.0	a n w a r
चुन्नियां 1.0	c u n n i y aa q
हैती 1.0	h ei t ii
धमकाया 1.0	dh a m k aa y aa
खेसारीलाल 1.0	kh ee s aa r ii l aa l
सुलह 1.0	s u l a h
बहरीन 1.0	b a h r ii n
एलयूवी 1.0	ee l y uu w ii
राणे 1.0	r aa nx ee
शिक्षाप्रद 1.0	sh i k sx aa p r a d
नाल 1.0	n aa l
अततरर्त 1.0	a t t a r a r t
फाल्गुनी 1.0	ph aa l g u n ii
शेनकर 1.0	sh ee n k a r
रावमावि 1.0	r aa w m aa w i
प्लेटें 1.0	p l ee tx ee q
पतन 1.0	p a t a n
स्वभावतः 1.0	s w bh aa w t a hq
पहाडो 1.0	p a h aa dx oo
लाभों 1.0	l aa bh oo q
बैराज 1.0	b ei r aa j
औलख 1.0	ou l a kh
दवाखाना 1.0	d a w aa kh aa n aa
जेयू 1.0	j ee y uu
होरही 1.0	h oo r h ii
दूसरेे 1.0	d uu s r ee ee
श्रीलंकाई 1.0	sh r ii l a q k aa ii
दरियस 1.0	d a r i y a s
कामविजयी 1.0	k aa m w i j y ii
भविष्यवाणी 1.0	bh a w i sx y a w aa nx ii
सुधनोती 1.0	s u dh n oo t ii
इराक 1.0	i r aa k
मावठे 1.0	m aa w txh ee
पूँछ 1.0	p uu mq ch
त्यों 1.0	t y oo q
ब्रज 1.0	b r a j
क्याअंधा 1.0	k y aa a q dh aa
स्पून 1.0	s p uu n
फ़ैसले 1.0	f ei s l ee
जनाजा 1.0	j a n aa j aa
रसूख़दार 1.0	r a s uu khq d aa r
लूटेरों 1.0	l uu tx ee r oo q
क्रीड़ास्थली 1.0	k r ii dxq aa s th a l ii
भैरोनाथ 1.0	bh ei r oo n aa th
विकाशशील 1.0	w i k aa sh sh ii l
मित्तल 1.0	m i t t a l
न्यूमेन 1.0	n y uu m ee n
सतर्क 1.0	s a t a r k
मादाओं 1.0	m aa d aa oo q
सुवॉन 1.0	s u w ax n
अनूपगिरी 1.0	a n uu p g i r ii
केंद्रिकाएँ 1.0	k ee q d r i k aa ee mq
सिकोड़ 1.0	s i k oo dxq
कीहम 1.0	k ii h a m
ख्याली 1.0	kh y aa l ii
कृमि 1.0	k rq m i
बैक्ट्रियन 1.0	b ei k tx r i y a n
माध्यमिक 1.0	m aa dh y a m i k
खिल 1.0	kh i l
लारी 1.0	l aa r ii
बिठाना 1.0	b i txh aa n aa
पड़ेगे 1.0	p a dxq ee g ee
लाहौर 1.0	l aa h ou r
इस्तीफ़ा 1.0	i s t ii f aa
पिडीलाइट 1.0	p i dx ii l aa i tx
देशमुख 1.0	d ee sh m u kh
मोसुल 1.0	m oo s u l
आराेपियों 1.0	aa r aa ee p i y oo q
धौम्य 1.0	dh ou m y
राइट्स 1.0	r aa i tx s
उपरहर 1.0	u p a r h a r
उन्होंनेे 1.0	u n h oo q n ee ee
झिलवाया 1.0	jh i l w aa y aa
विलेज 1.0	w i l ee j
तकल्या 1.0	t a k a l y aa
प्रहसन 1.0	p r a h s a n
निज़ामुदीन 1.0	n i z aa m u d ii n
बिहारियों 1.0	b i h aa r i y oo q
पर्यावरणविदों 1.0	p a r y aa w a r nx a w i d oo q
लेटलतीफी 1.0	l ee tx a l t ii ph ii
जेसल 1.0	j ee s a l
वोक्स 1.0	w oo k s
वेंट 1.0	w ee q tx
